"2017 NAICS Code","2017 NAICS Title","GHG","Unit","Supply Chain Emission Factors without Margins","Margins of Supply Chain Emission Factors","Supply Chain Emission Factors with Margins","Reference USEEIO Code"
111335,"Tree Nut Farming","All GHGs","kg CO2e/2022 USD, purchaser price",0.429,0.059,0.488,"111300"
111336,"Fruit and Tree Nut Combination Farming","All GHGs","kg CO2e/2022 USD, purchaser price",0.429,0.059,0.488,"111300"
111339,"Other Noncitrus Fruit Farming","All GHGs","kg CO2e/2022 USD, purchaser price",0.429,0.059,0.488,"111300"
111411,"Mushroom Production","All GHGs","kg CO2e/2022 USD, purchaser price",0.266,0.041,0.307,"111400"
111419,"Other Food Crops Grown Under Cover","All GHGs","kg CO2e/2022 USD, purchaser price",0.266,0.041,0.307,"111400"
111421,"Nursery and Tree Production","All GHGs","kg CO2e/2022 USD, purchaser price",0.266,0.041,0.307,"111400"
111422,"Floriculture Production","All GHGs","kg CO2e/2022 USD, purchaser price",0.266,0.041,0.307,"111400"
111910,"Tobacco Farming","All GHGs","kg CO2e/2022 USD, purchaser price",0.703,0.037,0.74,"111900"
111920,"Cotton Farming","All GHGs","kg CO2e/2022 USD, purchaser price",0.703,0.037,0.74,"111900"
111930,"Sugarcane Farming","All GHGs","kg CO2e/2022 USD, purchaser price",0.703,0.037,0.74,"111900"
111940,"Hay Farming","All GHGs","kg CO2e/2022 USD, purchaser price",0.703,0.037,0.74,"111900"
111991,"Sugar Beet Farming","All GHGs","kg CO2e/2022 USD, purchaser price",0.703,0.037,0.74,"111900"
111992,"Peanut Farming","All GHGs","kg CO2e/2022 USD, purchaser price",0.703,0.037,0.74,"111900"
111998,"All Other Miscellaneous Crop Farming","All GHGs","kg CO2e/2022 USD, purchaser price",0.703,0.037,0.74,"111900"
112111,"Beef Cattle Ranching and Farming","All GHGs","kg CO2e/2022 USD, purchaser price",2.847,0.045,2.893,"1121A0"
112112,"Cattle Feedlots","All GHGs","kg CO2e/2022 USD, purchaser price",2.847,0.045,2.893,"1121A0"
112120,"Dairy Cattle and Milk Production","All GHGs","kg CO2e/2022 USD, purchaser price",1.682,0.042,1.724,"112120"
112130,"Dual-Purpose Cattle Ranching and Farming","All GHGs","kg CO2e/2022 USD, purchaser price",2.847,0.045,2.893,"1121A0"
112210,"Hog and Pig Farming","All GHGs","kg CO2e/2022 USD, purchaser price",1.077,0.051,1.128,"112A00"
112310,"Chicken Egg Production","All GHGs","kg CO2e/2022 USD, purchaser price",0.407,0.031,0.438,"112300"
112320,"Broilers and Other Meat Type Chicken Production","All GHGs","kg CO2e/2022 USD, purchaser price",0.407,0.031,0.438,"112300"
112330,"Turkey Production","All GHGs","kg CO2e/2022 USD, purchaser price",0.407,0.031,0.438,"112300"
112340,"Poultry Hatcheries","All GHGs","kg CO2e/2022 USD, purchaser price",0.407,0.031,0.438,"112300"
112390,"Other Poultry Production","All GHGs","kg CO2e/2022 USD, purchaser price",0.407,0.031,0.438,"112300"
112410,"Sheep Farming","All GHGs","kg CO2e/2022 USD, purchaser price",1.077,0.051,1.128,"112A00"
112420,"Goat Farming","All GHGs","kg CO2e/2022 USD, purchaser price",1.077,0.051,1.128,"112A00"
112511,"Finfish Farming and Fish Hatcheries","All GHGs","kg CO2e/2022 USD, purchaser price",1.077,0.051,1.128,"112A00"
112512,"Shellfish Farming","All GHGs","kg CO2e/2022 USD, purchaser price",1.077,0.051,1.128,"112A00"
112519,"Other Aquaculture","All GHGs","kg CO2e/2022 USD, purchaser price",1.077,0.051,1.128,"112A00"
112910,"Apiculture","All GHGs","kg CO2e/2022 USD, purchaser price",1.077,0.051,1.128,"112A00"
112920,"Horses and Other Equine Production","All GHGs","kg CO2e/2022 USD, purchaser price",1.077,0.051,1.128,"112A00"
112930,"Fur-Bearing Animal and Rabbit Production","All GHGs","kg CO2e/2022 USD, purchaser price",1.077,0.051,1.128,"112A00"
112990,"All Other Animal Production","All GHGs","kg CO2e/2022 USD, purchaser price",1.077,0.051,1.128,"112A00"
113110,"Timber Tract Operations","All GHGs","kg CO2e/2022 USD, purchaser price",0.199,0.045,0.243,"113000"
113210,"Forest Nurseries and Gathering of Forest Products","All GHGs","kg CO2e/2022 USD, purchaser price",0.199,0.045,0.243,"113000"
113310,"Logging","All GHGs","kg CO2e/2022 USD, purchaser price",0.199,0.045,0.243,"113000"
114111,"Finfish Fishing","All GHGs","kg CO2e/2022 USD, purchaser price",0.127,0.027,0.154,"114000"
114112,"Shellfish Fishing","All GHGs","kg CO2e/2022 USD, purchaser price",0.127,0.027,0.154,"114000"
114119,"Other Marine Fishing","All GHGs","kg CO2e/2022 USD, purchaser price",0.127,0.027,0.154,"114000"
114210,"Hunting and Trapping","All GHGs","kg CO2e/2022 USD, purchaser price",0.127,0.027,0.154,"114000"
115111,"Cotton Ginning","All GHGs","kg CO2e/2022 USD, purchaser price",0.384,0,0.384,"115000"
115112,"Soil Preparation, Planting, and Cultivating","All GHGs","kg CO2e/2022 USD, purchaser price",0.384,0,0.384,"115000"
115113,"Crop Harvesting, Primarily by Machine","All GHGs","kg CO2e/2022 USD, purchaser price",0.384,0,0.384,"115000"
115114,"Postharvest Crop Activities (except Cotton Ginning)","All GHGs","kg CO2e/2022 USD, purchaser price",0.384,0,0.384,"115000"
115115,"Farm Labor Contractors and Crew Leaders","All GHGs","kg CO2e/2022 USD, purchaser price",0.384,0,0.384,"115000"
115116,"Farm Management Services","All GHGs","kg CO2e/2022 USD, purchaser price",0.384,0,0.384,"115000"
115210,"Support Activities for Animal Production","All GHGs","kg CO2e/2022 USD, purchaser price",0.384,0,0.384,"115000"
115310,"Support Activities for Forestry","All GHGs","kg CO2e/2022 USD, purchaser price",0.384,0,0.384,"115000"
211120,"Crude Petroleum Extraction","All GHGs","kg CO2e/2022 USD, purchaser price",0.377,0.028,0.405,"211000"
211130,"Natural Gas Extraction","All GHGs","kg CO2e/2022 USD, purchaser price",0.377,0.028,0.405,"211000"
212111,"Bituminous Coal and Lignite Surface Mining","All GHGs","kg CO2e/2022 USD, purchaser price",0.747,0.094,0.841,"212100"
212112,"Bituminous Coal Underground Mining","All GHGs","kg CO2e/2022 USD, purchaser price",0.747,0.094,0.841,"212100"
212113,"Anthracite Mining","All GHGs","kg CO2e/2022 USD, purchaser price",0.747,0.094,0.841,"212100"
212210,"Iron Ore Mining","All GHGs","kg CO2e/2022 USD, purchaser price",0.54,0.054,0.593,"2122A0"
212221,"Gold Ore Mining","All GHGs","kg CO2e/2022 USD, purchaser price",0.54,0.054,0.593,"2122A0"
212222,"Silver Ore Mining","All GHGs","kg CO2e/2022 USD, purchaser price",0.54,0.054,0.593,"2122A0"
212230,"Copper, Nickel, Lead, and Zinc Mining","All GHGs","kg CO2e/2022 USD, purchaser price",0.27,0.053,0.324,"212230"
212291,"Uranium-Radium-Vanadium Ore Mining","All GHGs","kg CO2e/2022 USD, purchaser price",0.54,0.054,0.593,"2122A0"
212299,"All Other Metal Ore Mining","All GHGs","kg CO2e/2022 USD, purchaser price",0.54,0.054,0.593,"2122A0"
212311,"Dimension Stone Mining and Quarrying","All GHGs","kg CO2e/2022 USD, purchaser price",0.193,0.086,0.279,"212310"
212312,"Crushed and Broken Limestone Mining and Quarrying","All GHGs","kg CO2e/2022 USD, purchaser price",0.193,0.086,0.279,"212310"
212313,"Crushed and Broken Granite Mining and Quarrying","All GHGs","kg CO2e/2022 USD, purchaser price",0.193,0.086,0.279,"212310"
212319,"Other Crushed and Broken Stone Mining and Quarrying","All GHGs","kg CO2e/2022 USD, purchaser price",0.193,0.086,0.279,"212310"
212321,"Construction Sand and Gravel Mining","All GHGs","kg CO2e/2022 USD, purchaser price",0.184,0.125,0.309,"2123A0"
212322,"Industrial Sand Mining","All GHGs","kg CO2e/2022 USD, purchaser price",0.184,0.125,0.309,"2123A0"
212324,"Kaolin and Ball Clay Mining","All GHGs","kg CO2e/2022 USD, purchaser price",0.184,0.125,0.309,"2123A0"
212325,"Clay and Ceramic and Refractory Minerals Mining","All GHGs","kg CO2e/2022 USD, purchaser price",0.184,0.125,0.309,"2123A0"
212391,"Potash, Soda, and Borate Mineral Mining","All GHGs","kg CO2e/2022 USD, purchaser price",0.184,0.125,0.309,"2123A0"
212392,"Phosphate Rock Mining","All GHGs","kg CO2e/2022 USD, purchaser price",0.184,0.125,0.309,"2123A0"
212393,"Other Chemical and Fertilizer Mineral Mining","All GHGs","kg CO2e/2022 USD, purchaser price",0.184,0.125,0.309,"2123A0"
212399,"All Other Nonmetallic Mineral Mining","All GHGs","kg CO2e/2022 USD, purchaser price",0.184,0.125,0.309,"2123A0"
213111,"Drilling Oil and Gas Wells","All GHGs","kg CO2e/2022 USD, purchaser price",0.407,0,0.407,"213111"
213112,"Support Activities for Oil and Gas Operations","All GHGs","kg CO2e/2022 USD, purchaser price",0.372,0,0.372,"21311A"
213113,"Support Activities for Coal Mining","All GHGs","kg CO2e/2022 USD, purchaser price",0.372,0,0.372,"21311A"
213114,"Support Activities for Metal Mining","All GHGs","kg CO2e/2022 USD, purchaser price",0.372,0,0.372,"21311A"
213115,"Support Activities for Nonmetallic Minerals (except Fuels) Mining","All GHGs","kg CO2e/2022 USD, purchaser price",0.372,0,0.372,"21311A"
221210,"Natural Gas Distribution","All GHGs","kg CO2e/2022 USD, purchaser price",0.532,0,0.532,"221200"
221310,"Water Supply and Irrigation Systems","All GHGs","kg CO2e/2022 USD, purchaser price",0.578,0,0.578,"221300"
221320,"Sewage Treatment Facilities","All GHGs","kg CO2e/2022 USD, purchaser price",0.578,0,0.578,"221300"
221330,"Steam and Air-Conditioning Supply","All GHGs","kg CO2e/2022 USD, purchaser price",0.578,0,0.578,"221300"
236115,"New Single-Family Housing Construction (except For-Sale Builders)","All GHGs","kg CO2e/2022 USD, purchaser price",0.194,0,0.194,"233411"
236116,"New Multifamily Housing Construction (except For-Sale Builders)","All GHGs","kg CO2e/2022 USD, purchaser price",0.221,0,0.221,"233412"
236117,"New Housing For-Sale Builders","All GHGs","kg CO2e/2022 USD, purchaser price",0.216,0,0.216,"233411, 233412, 2334A0"
236118,"Residential Remodelers","All GHGs","kg CO2e/2022 USD, purchaser price",0.211,0,0.211,"230302"
236210,"Industrial Building Construction","All GHGs","kg CO2e/2022 USD, purchaser price",0.239,0,0.239,"230301, 233230"
236220,"Commercial and Institutional Building Construction","All GHGs","kg CO2e/2022 USD, purchaser price",0.224,0,0.224,"230301, 233210, 233262, 2332A0"
237110,"Water and Sewer Line and Related Structures Construction","All GHGs","kg CO2e/2022 USD, purchaser price",0.277,0,0.277,"233240"
237120,"Oil and Gas Pipeline and Related Structures Construction","All GHGs","kg CO2e/2022 USD, purchaser price",0.277,0,0.277,"233240"
237130,"Power and Communication Line and Related Structures Construction","All GHGs","kg CO2e/2022 USD, purchaser price",0.277,0,0.277,"233240"
237210,"Land Subdivision","All GHGs","kg CO2e/2022 USD, purchaser price",0.221,0,0.221,"233210, 233230, 233240, 233262, 2332A0, 2332C0, 2332D0, 233411, 233412, 2334A0"
237310,"Highway, Street, and Bridge Construction","All GHGs","kg CO2e/2022 USD, purchaser price",0.255,0,0.255,"2332C0"
237990,"Other Heavy and Civil Engineering Construction","All GHGs","kg CO2e/2022 USD, purchaser price",0.202,0,0.202,"2332D0"
238110,"Poured Concrete Foundation and Structure Contractors","All GHGs","kg CO2e/2022 USD, purchaser price",0.221,0,0.221,"230301, 230302, 233210, 233230, 233240, 233262, 2332A0, 2332D0, 233411, 233412, 2334A0"
238120,"Structural Steel and Precast Concrete Contractors","All GHGs","kg CO2e/2022 USD, purchaser price",0.221,0,0.221,"230301, 230302, 233210, 233230, 233240, 233262, 2332A0, 2332D0, 233411, 233412, 2334A0"
238130,"Framing Contractors","All GHGs","kg CO2e/2022 USD, purchaser price",0.221,0,0.221,"230301, 230302, 233210, 233230, 233240, 233262, 2332A0, 2332D0, 233411, 233412, 2334A0"
238140,"Masonry Contractors","All GHGs","kg CO2e/2022 USD, purchaser price",0.221,0,0.221,"230301, 230302, 233210, 233230, 233240, 233262, 2332A0, 2332D0, 233411, 233412, 2334A0"
238150,"Glass and Glazing Contractors","All GHGs","kg CO2e/2022 USD, purchaser price",0.221,0,0.221,"230301, 230302, 233210, 233230, 233240, 233262, 2332A0, 2332D0, 233411, 233412, 2334A0"
238160,"Roofing Contractors","All GHGs","kg CO2e/2022 USD, purchaser price",0.221,0,0.221,"230301, 230302, 233210, 233230, 233240, 233262, 2332A0, 2332D0, 233411, 233412, 2334A0"
238170,"Siding Contractors","All GHGs","kg CO2e/2022 USD, purchaser price",0.221,0,0.221,"230301, 230302, 233210, 233230, 233240, 233262, 2332A0, 2332D0, 233411, 233412, 2334A0"
238190,"Other Foundation, Structure, and Building Exterior Contractors","All GHGs","kg CO2e/2022 USD, purchaser price",0.221,0,0.221,"230301, 230302, 233210, 233230, 233240, 233262, 2332A0, 2332D0, 233411, 233412, 2334A0"
238210,"Electrical Contractors and Other Wiring Installation Contractors","All GHGs","kg CO2e/2022 USD, purchaser price",0.221,0,0.221,"230301, 230302, 233210, 233230, 233240, 233262, 2332A0, 2332D0, 233411, 233412, 2334A0"
238220,"Plumbing, Heating, and Air-Conditioning Contractors","All GHGs","kg CO2e/2022 USD, purchaser price",0.221,0,0.221,"230301, 230302, 233210, 233230, 233240, 233262, 2332A0, 2332D0, 233411, 233412, 2334A0"
238290,"Other Building Equipment Contractors","All GHGs","kg CO2e/2022 USD, purchaser price",0.221,0,0.221,"230301, 230302, 233210, 233230, 233240, 233262, 2332A0, 2332D0, 233411, 233412, 2334A0"
238310,"Drywall and Insulation Contractors","All GHGs","kg CO2e/2022 USD, purchaser price",0.221,0,0.221,"230301, 230302, 233210, 233230, 233240, 233262, 2332A0, 2332D0, 233411, 233412, 2334A0"
238320,"Painting and Wall Covering Contractors","All GHGs","kg CO2e/2022 USD, purchaser price",0.221,0,0.221,"230301, 230302, 233210, 233230, 233240, 233262, 2332A0, 2332D0, 233411, 233412, 2334A0"
238330,"Flooring Contractors","All GHGs","kg CO2e/2022 USD, purchaser price",0.221,0,0.221,"230301, 230302, 233210, 233230, 233240, 233262, 2332A0, 2332D0, 233411, 233412, 2334A0"
238340,"Tile and Terrazzo Contractors","All GHGs","kg CO2e/2022 USD, purchaser price",0.221,0,0.221,"230301, 230302, 233210, 233230, 233240, 233262, 2332A0, 2332D0, 233411, 233412, 2334A0"
238350,"Finish Carpentry Contractors","All GHGs","kg CO2e/2022 USD, purchaser price",0.221,0,0.221,"230301, 230302, 233210, 233230, 233240, 233262, 2332A0, 2332D0, 233411, 233412, 2334A0"
238390,"Other Building Finishing Contractors","All GHGs","kg CO2e/2022 USD, purchaser price",0.221,0,0.221,"230301, 230302, 233210, 233230, 233240, 233262, 2332A0, 2332D0, 233411, 233412, 2334A0"
238910,"Site Preparation Contractors","All GHGs","kg CO2e/2022 USD, purchaser price",0.221,0,0.221,"230301, 230302, 233210, 233230, 233240, 233262, 2332A0, 2332D0, 233411, 233412, 2334A0"
238990,"All Other Specialty Trade Contractors","All GHGs","kg CO2e/2022 USD, purchaser price",0.221,0,0.221,"230301, 230302, 233210, 233230, 233240, 233262, 2332A0, 2332D0, 233411, 233412, 2334A0"
311111,"Dog and Cat Food Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.282,0.051,0.333,"311111"
311119,"Other Animal Food Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.428,0.031,0.459,"311119"
311211,"Flour Milling","All GHGs","kg CO2e/2022 USD, purchaser price",0.732,0.037,0.769,"311210"
311212,"Rice Milling","All GHGs","kg CO2e/2022 USD, purchaser price",0.732,0.037,0.769,"311210"
311213,"Malt Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.732,0.037,0.769,"311210"
311221,"Wet Corn Milling","All GHGs","kg CO2e/2022 USD, purchaser price",0.956,0.037,0.993,"311221"
311224,"Soybean and Other Oilseed Processing","All GHGs","kg CO2e/2022 USD, purchaser price",0.481,0.03,0.511,"311224"
311225,"Fats and Oils Refining and Blending","All GHGs","kg CO2e/2022 USD, purchaser price",0.36,0.025,0.385,"311225"
311230,"Breakfast Cereal Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.423,0.05,0.473,"311230"
311313,"Beet Sugar Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.442,0.04,0.482,"311300"
311314,"Cane Sugar Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.442,0.04,0.482,"311300"
311340,"Nonchocolate Confectionery Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.442,0.04,0.482,"311300"
311351,"Chocolate and Confectionery Manufacturing from Cacao Beans","All GHGs","kg CO2e/2022 USD, purchaser price",0.442,0.04,0.482,"311300"
311352,"Confectionery Manufacturing from Purchased Chocolate","All GHGs","kg CO2e/2022 USD, purchaser price",0.442,0.04,0.482,"311300"
311411,"Frozen Fruit, Juice, and Vegetable Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.438,0.047,0.485,"311410"
311412,"Frozen Specialty Food Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.438,0.047,0.485,"311410"
311421,"Fruit and Vegetable Canning","All GHGs","kg CO2e/2022 USD, purchaser price",0.343,0.038,0.381,"311420"
311422,"Specialty Canning","All GHGs","kg CO2e/2022 USD, purchaser price",0.343,0.038,0.381,"311420"
311423,"Dried and Dehydrated Food Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.343,0.038,0.381,"311420"
311511,"Fluid Milk Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.766,0.037,0.803,"31151A"
311512,"Creamery Butter Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.766,0.037,0.803,"31151A"
311513,"Cheese Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.936,0.034,0.969,"311513"
311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.605,0.037,0.642,"311514"
311520,"Ice Cream and Frozen Dessert Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.55,0.03,0.58,"311520"
311611,"Animal (except Poultry) Slaughtering","All GHGs","kg CO2e/2022 USD, purchaser price",1.086,0.033,1.12,"31161A"
311612,"Meat Processed from Carcasses","All GHGs","kg CO2e/2022 USD, purchaser price",1.086,0.033,1.12,"31161A"
311613,"Rendering and Meat Byproduct Processing","All GHGs","kg CO2e/2022 USD, purchaser price",1.086,0.033,1.12,"31161A"
311615,"Poultry Processing","All GHGs","kg CO2e/2022 USD, purchaser price",0.361,0.031,0.391,"311615"
311710,"Seafood Product Preparation and Packaging","All GHGs","kg CO2e/2022 USD, purchaser price",0.239,0.027,0.266,"311700"
311811,"Retail Bakeries","All GHGs","kg CO2e/2022 USD, purchaser price",0.213,0.04,0.253,"311810"
311812,"Commercial Bakeries","All GHGs","kg CO2e/2022 USD, purchaser price",0.213,0.04,0.253,"311810"
311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.213,0.04,0.253,"311810"
311821,"Cookie and Cracker Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.31,0.047,0.356,"3118A0"
311824,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour","All GHGs","kg CO2e/2022 USD, purchaser price",0.31,0.047,0.356,"3118A0"
311830,"Tortilla Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.31,0.047,0.356,"3118A0"
311911,"Roasted Nuts and Peanut Butter Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.329,0.044,0.372,"311910"
311919,"Other Snack Food Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.329,0.044,0.372,"311910"
311920,"Coffee and Tea Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.313,0.04,0.353,"311920"
311930,"Flavoring Syrup and Concentrate Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.195,0.021,0.216,"311930"
311941,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.303,0.04,0.344,"311940"
311942,"Spice and Extract Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.303,0.04,0.344,"311940"
311991,"Perishable Prepared Food Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.358,0.042,0.401,"311990"
311999,"All Other Miscellaneous Food Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.358,0.042,0.401,"311990"
312111,"Soft Drink Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.173,0.042,0.214,"312110"
312112,"Bottled Water Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.173,0.042,0.214,"312110"
312113,"Ice Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.173,0.042,0.214,"312110"
312120,"Breweries","All GHGs","kg CO2e/2022 USD, purchaser price",0.209,0.066,0.274,"312120"
312130,"Wineries","All GHGs","kg CO2e/2022 USD, purchaser price",0.123,0.059,0.182,"312130"
312140,"Distilleries","All GHGs","kg CO2e/2022 USD, purchaser price",0.242,0.062,0.305,"312140"
312230,"Tobacco Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.055,0.046,0.101,"312200"
313110,"Fiber, Yarn, and Thread Mills","All GHGs","kg CO2e/2022 USD, purchaser price",0.636,0.023,0.659,"313100"
313210,"Broadwoven Fabric Mills","All GHGs","kg CO2e/2022 USD, purchaser price",0.48,0.027,0.507,"313200"
313220,"Narrow Fabric Mills and Schiffli Machine Embroidery","All GHGs","kg CO2e/2022 USD, purchaser price",0.48,0.027,0.507,"313200"
313230,"Nonwoven Fabric Mills","All GHGs","kg CO2e/2022 USD, purchaser price",0.48,0.027,0.507,"313200"
313240,"Knit Fabric Mills","All GHGs","kg CO2e/2022 USD, purchaser price",0.48,0.027,0.507,"313200"
313310,"Textile and Fabric Finishing Mills","All GHGs","kg CO2e/2022 USD, purchaser price",0.37,0.026,0.396,"313300"
313320,"Fabric Coating Mills","All GHGs","kg CO2e/2022 USD, purchaser price",0.37,0.026,0.396,"313300"
314110,"Carpet and Rug Mills","All GHGs","kg CO2e/2022 USD, purchaser price",0.224,0.068,0.292,"314110"
314120,"Curtain and Linen Mills","All GHGs","kg CO2e/2022 USD, purchaser price",0.206,0.061,0.267,"314120"
314910,"Textile Bag and Canvas Mills","All GHGs","kg CO2e/2022 USD, purchaser price",0.197,0.046,0.243,"314900"
314994,"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills","All GHGs","kg CO2e/2022 USD, purchaser price",0.197,0.046,0.243,"314900"
314999,"All Other Miscellaneous Textile Product Mills","All GHGs","kg CO2e/2022 USD, purchaser price",0.197,0.046,0.243,"314900"
315110,"Hosiery and Sock Mills","All GHGs","kg CO2e/2022 USD, purchaser price",0.06,0.06,0.12,"315000"
315190,"Other Apparel Knitting Mills","All GHGs","kg CO2e/2022 USD, purchaser price",0.06,0.06,0.12,"315000"
315210,"Cut and Sew Apparel Contractors","All GHGs","kg CO2e/2022 USD, purchaser price",0.06,0.06,0.12,"315000"
315220,"Men's and Boys' Cut and Sew Apparel Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.06,0.06,0.12,"315000"
315240,"Women's, Girls', and Infants' Cut and Sew Apparel Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.06,0.06,0.12,"315000"
315280,"Other Cut and Sew Apparel Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.06,0.06,0.12,"315000"
315990,"Apparel Accessories and Other Apparel Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.06,0.06,0.12,"315000"
316110,"Leather and Hide Tanning and Finishing","All GHGs","kg CO2e/2022 USD, purchaser price",0.222,0.06,0.282,"316000"
316210,"Footwear Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.222,0.06,0.282,"316000"
316992,"Women's Handbag and Purse Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.222,0.06,0.282,"316000"
316998,"All Other Leather Good and Allied Product Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.222,0.06,0.282,"316000"
321113,"Sawmills","All GHGs","kg CO2e/2022 USD, purchaser price",0.227,0.037,0.264,"321100"
321114,"Wood Preservation","All GHGs","kg CO2e/2022 USD, purchaser price",0.227,0.037,0.264,"321100"
321211,"Hardwood Veneer and Plywood Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.187,0.021,0.208,"321200"
321212,"Softwood Veneer and Plywood Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.187,0.021,0.208,"321200"
321213,"Engineered Wood Member (except Truss) Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.187,0.021,0.208,"321200"
321214,"Truss Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.187,0.021,0.208,"321200"
321219,"Reconstituted Wood Product Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.187,0.021,0.208,"321200"
321911,"Wood Window and Door Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.122,0.031,0.154,"321910"
321912,"Cut Stock, Resawing Lumber, and Planing","All GHGs","kg CO2e/2022 USD, purchaser price",0.122,0.031,0.154,"321910"
321918,"Other Millwork (including Flooring)","All GHGs","kg CO2e/2022 USD, purchaser price",0.122,0.031,0.154,"321910"
321920,"Wood Container and Pallet Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.135,0.029,0.164,"3219A0"
321991,"Manufactured Home (Mobile Home) Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.135,0.029,0.164,"3219A0"
