household_type,income_group,year,means_tested_transfers,medicaid_and_chip,snap,ssi,other_transfers
all_households,lowest_quintile,2013,55.6,51.0,59.2,64.3,68.2
all_households,lowest_quintile,2014,53.8,49.7,58.9,62.6,66.1
all_households,lowest_quintile,2015,52.2,47.8,58.6,62.4,65.5
all_households,lowest_quintile,2016,52.3,47.7,60.3,62.8,66.1
all_households,lowest_quintile,2017,51.8,47.2,61.5,60.9,66.6
all_households,lowest_quintile,2018,53.3,48.9,62.1,62.6,70.2
all_households,lowest_quintile,2019,51.6,47.4,61.3,59.5,67.9
all_households,lowest_quintile,2020,42.8,45.9,53.8,58.6,34.8
all_households,lowest_quintile,2021,46.5,45.0,55.8,62.8,43.3
all_households,lowest_quintile,2022,48.3,43.5,56.0,60.7,64.3
all_households,second_quintile,1979,14.9,14.9,17.2,12.1,14.9
all_households,second_quintile,1980,16.0,16.0,19.1,11.7,16.1
all_households,second_quintile,1981,16.0,15.5,20.0,11.7,16.1
all_households,second_quintile,1982,15.6,15.5,18.5,12.5,15.6
all_households,second_quintile,1983,13.5,13.4,17.1,12.6,12.3
all_households,second_quintile,1984,14.3,14.4,16.5,11.7,14.2
all_households,second_quintile,1985,12.7,13.5,14.1,10.9,12.2
all_households,second_quintile,1986,13.8,14.1,15.3,12.6,13.4
all_households,second_quintile,1987,12.3,13.6,10.8,12.7,11.5
all_households,second_quintile,1988,12.1,13.0,12.0,12.5,11.2
all_households,second_quintile,1989,13.5,14.5,12.9,14.5,12.3
all_households,second_quintile,1990,13.8,15.0,14.0,14.2,12.2
all_households,second_quintile,1991,15.8,16.7,18.2,15.3,13.7
all_households,second_quintile,1992,17.8,18.7,20.4,16.6,15.6
all_households,second_quintile,1993,18.7,20.4,21.1,17.3,15.8
all_households,second_quintile,1994,18.2,19.3,21.0,16.4,16.1
all_households,second_quintile,1995,17.9,19.4,20.2,17.4,14.7
all_households,second_quintile,1996,18.1,19.6,20.8,15.4,15.8
all_households,second_quintile,1997,18.4,19.7,22.3,14.5,16.5
all_households,second_quintile,1998,19.9,21.8,20.9,16.7,16.9
all_households,second_quintile,1999,20.0,22.3,19.4,16.5,16.1
all_households,second_quintile,2000,20.1,22.1,20.7,15.6,16.4
all_households,second_quintile,2001,20.7,22.9,19.5,15.5,16.9
all_households,second_quintile,2002,21.5,23.2,23.1,16.6,17.7
all_households,second_quintile,2003,22.1,23.8,23.8,16.3,18.5
all_households,second_quintile,2004,23.1,24.8,24.8,17.5,18.6
all_households,second_quintile,2005,22.4,24.4,23.5,16.8,16.7
all_households,second_quintile,2006,22.2,24.6,23.3,17.5,16.1
all_households,second_quintile,2007,22.2,24.6,22.6,16.9,16.4
all_households,second_quintile,2008,23.2,24.9,25.7,17.8,18.0
all_households,second_quintile,2009,23.9,25.4,27.8,18.3,18.1
all_households,second_quintile,2010,24.6,25.7,29.0,18.9,19.6
all_households,second_quintile,2011,24.8,26.0,29.8,17.7,19.5
all_households,second_quintile,2012,25.0,26.3,29.1,18.0,19.3
all_households,second_quintile,2013,24.9,26.3,28.0,18.8,19.3
all_households,second_quintile,2014,24.5,25.4,27.9,19.8,19.9
all_households,second_quintile,2015,25.0,26.3,27.9,18.4,19.7
all_households,second_quintile,2016,24.6,25.9,26.4,19.3,19.3
all_households,second_quintile,2017,24.7,26.0,25.9,18.5,19.3
all_households,second_quintile,2018,24.3,26.0,24.7,18.3,16.4
all_households,second_quintile,2019,24.4,26.2,23.2,19.2,17.0
all_households,second_quintile,2020,25.1,25.9,27.0,18.4,24.5
all_households,second_quintile,2021,24.5,25.7,25.9,16.6,22.9
all_households,second_quintile,2022,24.5,25.9,26.0,18.1,17.0
all_households,middle_quintile,1979,5.7,5.9,3.9,6.1,6.3
all_households,middle_quintile,1980,5.6,5.7,4.7,4.9,6.2
all_households,middle_quintile,1981,5.1,5.6,4.5,4.8,5.1
all_households,middle_quintile,1982,4.5,5.0,3.1,5.6,4.3
all_households,middle_quintile,1983,4.1,4.1,3.2,5.8,4.0
all_households,middle_quintile,1984,4.8,5.0,3.9,6.6,4.4
all_households,middle_quintile,1985,4.2,4.4,2.6,6.7,3.9
all_households,middle_quintile,1986,4.7,5.5,2.6,7.1,3.8
all_households,middle_quintile,1987,4.6,4.8,2.4,6.8,4.2
all_households,middle_quintile,1988,5.1,5.8,2.9,7.2,4.3
all_households,middle_quintile,1989,4.6,5.3,2.7,6.3,3.7
all_households,middle_quintile,1990,5.1,6.1,2.9,7.8,3.6
all_households,middle_quintile,1991,5.4,6.3,3.8,7.2,4.2
all_households,middle_quintile,1992,6.3,7.2,5.2,7.3,5.0
all_households,middle_quintile,1993,6.6,7.3,5.7,8.1,5.2
all_households,middle_quintile,1994,6.5,7.9,5.4,5.9,5.1
all_households,middle_quintile,1995,7.0,8.2,5.6,7.0,5.6
all_households,middle_quintile,1996,6.6,7.7,5.1,7.0,5.2
all_households,middle_quintile,1997,6.8,8.3,5.3,6.9,4.4
all_households,middle_quintile,1998,7.0,8.5,4.1,7.1,4.2
all_households,middle_quintile,1999,8.0,9.4,5.2,8.3,4.6
all_households,middle_quintile,2000,8.1,9.5,4.5,7.3,5.3
all_households,middle_quintile,2001,8.4,9.9,4.7,7.2,5.4
all_households,middle_quintile,2002,9.3,11.0,5.2,8.3,5.0
all_households,middle_quintile,2003,9.6,11.3,5.6,7.6,5.4
all_households,middle_quintile,2004,9.6,11.3,5.3,8.4,4.9
all_households,middle_quintile,2005,9.5,11.4,5.3,8.1,4.5
all_households,middle_quintile,2006,9.6,11.5,5.2,8.5,5.1
all_households,middle_quintile,2007,10.0,12.1,5.3,8.7,5.1
all_households,middle_quintile,2008,10.1,12.1,5.9,9.2,5.2
all_households,middle_quintile,2009,11.0,13.1,7.7,9.6,6.0
all_households,middle_quintile,2010,10.8,12.9,8.4,8.1,5.9
all_households,middle_quintile,2011,11.3,13.2,8.8,10.2,6.3
all_households,middle_quintile,2012,11.0,12.8,8.1,9.4,7.0
all_households,middle_quintile,2013,11.1,12.8,8.7,8.9,6.7
all_households,middle_quintile,2014,11.7,13.4,8.0,9.4,7.3
all_households,middle_quintile,2015,12.4,14.1,8.3,9.5,7.6
all_households,middle_quintile,2016,12.2,13.9,7.9,8.9,7.5
all_households,middle_quintile,2017,12.6,14.3,7.4,10.1,7.3
all_households,middle_quintile,2018,12.4,14.1,7.6,9.4,6.7
all_households,middle_quintile,2019,12.6,14.2,9.0,9.7,7.1
all_households,middle_quintile,2020,15.3,15.0,10.6,11.1,17.0
all_households,middle_quintile,2021,14.6,15.5,10.1,9.6,15.2
all_households,middle_quintile,2022,14.2,16.0,10.1,10.4,8.6
all_households,fourth_quintile,1979,3.2,3.5,1.6,3.6,3.6
all_households,fourth_quintile,1980,2.8,2.8,1.3,3.8,3.2
all_households,fourth_quintile,1981,2.9,3.2,1.7,4.2,2.7
all_households,fourth_quintile,1982,2.3,2.8,0.9,3.4,2.0
all_households,fourth_quintile,1983,2.2,2.4,0.8,3.8,2.0
all_households,fourth_quintile,1984,2.7,2.6,1.5,4.7,2.4
all_households,fourth_quintile,1985,2.3,2.4,0.9,4.2,2.1
all_households,fourth_quintile,1986,2.3,2.4,0.7,4.0,2.3
all_households,fourth_quintile,1987,2.7,3.0,0.9,4.7,2.2
all_households,fourth_quintile,1988,2.4,2.9,0.8,3.4,2.2
all_households,fourth_quintile,1989,2.7,3.2,1.1,5.0,1.9
all_households,fourth_quintile,1990,2.6,3.2,0.9,4.4,2.0
all_households,fourth_quintile,1991,2.9,3.6,1.5,4.1,2.0
all_households,fourth_quintile,1992,3.3,3.9,2.1,3.9,2.6
all_households,fourth_quintile,1993,3.0,3.7,1.8,4.1,2.2
all_households,fourth_quintile,1994,3.5,4.5,1.8,4.2,2.3
all_households,fourth_quintile,1995,3.2,4.0,1.7,3.8,2.4
all_households,fourth_quintile,1996,3.3,4.2,1.3,4.1,2.1
all_households,fourth_quintile,1997,3.7,4.7,1.4,4.7,1.7
all_households,fourth_quintile,1998,3.6,4.5,1.3,3.5,2.0
all_households,fourth_quintile,1999,3.8,4.7,1.4,4.3,1.9
all_households,fourth_quintile,2000,4.0,5.0,1.1,3.7,2.1
all_households,fourth_quintile,2001,3.8,4.6,1.1,3.8,1.9
all_households,fourth_quintile,2002,4.2,5.1,1.5,3.8,2.2
all_households,fourth_quintile,2003,4.3,5.2,1.0,4.2,2.0
all_households,fourth_quintile,2004,4.5,5.2,1.6,5.1,2.2
all_households,fourth_quintile,2005,4.5,5.5,1.1,4.4,1.9
all_households,fourth_quintile,2006,4.8,5.8,1.2,5.1,2.5
all_households,fourth_quintile,2007,4.8,5.7,1.3,4.8,2.7
all_households,fourth_quintile,2008,4.6,5.6,1.2,5.1,2.5
all_households,fourth_quintile,2009,5.0,6.2,1.9,4.8,2.4
all_households,fourth_quintile,2010,5.1,6.3,2.8,4.5,2.4
all_households,fourth_quintile,2011,4.6,5.6,2.2,4.9,2.4
all_households,fourth_quintile,2012,4.9,6.1,2.0,4.6,2.7
all_households,fourth_quintile,2013,4.7,5.7,2.3,4.4,2.8
all_households,fourth_quintile,2014,5.8,6.8,2.8,4.8,3.3
all_households,fourth_quintile,2015,5.9,6.9,2.8,5.1,3.7
all_households,fourth_quintile,2016,6.2,7.2,2.9,4.9,3.8
all_households,fourth_quintile,2017,6.4,7.3,2.9,6.1,3.4
all_households,fourth_quintile,2018,5.8,6.5,2.9,5.3,3.1
all_households,fourth_quintile,2019,6.3,7.1,3.5,5.2,3.9
all_households,fourth_quintile,2020,9.3,7.6,4.7,6.3,13.0
all_households,fourth_quintile,2021,8.1,8.1,4.4,5.5,10.0
all_households,fourth_quintile,2022,7.6,8.7,4.2,5.6,4.9
all_households,highest_quintile,1979,1.9,2.3,0.8,2.4,2.0
all_households,highest_quintile,1980,1.7,1.6,0.6,2.9,1.8
all_households,highest_quintile,1981,1.7,2.0,0.5,3.3,1.5
all_households,highest_quintile,1982,1.5,2.1,0.3,2.4,1.2
all_households,highest_quintile,1983,1.3,1.3,0.4,2.8,1.3
all_households,highest_quintile,1984,1.6,1.4,1.0,2.9,1.4
all_households,highest_quintile,1985,1.8,1.7,0.8,3.6,1.5
all_households,highest_quintile,1986,1.5,1.5,0.4,2.6,1.4
all_households,highest_quintile,1987,1.4,1.3,0.6,2.6,1.4
all_households,highest_quintile,1988,1.3,1.5,0.7,1.7,1.2
all_households,highest_quintile,1989,1.8,2.2,0.7,2.6,1.5
all_households,highest_quintile,1990,2.0,2.3,0.7,3.6,1.6
all_households,highest_quintile,1991,1.9,2.1,1.0,2.8,1.8
all_households,highest_quintile,1992,1.9,2.4,0.9,2.8,1.2
all_households,highest_quintile,1993,1.8,2.0,0.7,3.1,1.3
all_households,highest_quintile,1994,2.3,3.2,0.7,2.9,1.4
all_households,highest_quintile,1995,2.3,3.1,0.9,2.8,1.4
all_households,highest_quintile,1996,2.1,3.0,0.6,2.5,1.0
all_households,highest_quintile,1997,2.0,2.8,0.6,2.2,1.0
all_households,highest_quintile,1998,2.4,3.1,0.4,2.5,1.2
all_households,highest_quintile,1999,2.1,2.5,0.6,2.7,1.3
all_households,highest_quintile,2000,2.6,3.2,0.4,2.5,1.3
all_households,highest_quintile,2001,2.5,2.9,0.4,2.6,1.4
all_households,highest_quintile,2002,2.3,2.8,0.4,2.6,1.2
all_households,highest_quintile,2003,2.4,2.9,0.5,2.6,1.1
all_households,highest_quintile,2004,2.4,2.7,0.6,3.3,1.4
all_households,highest_quintile,2005,2.8,3.3,0.5,3.3,1.4
all_households,highest_quintile,2006,2.8,3.3,0.6,3.6,1.8
all_households,highest_quintile,2007,3.0,3.5,0.6,3.3,1.9
all_households,highest_quintile,2008,2.8,3.3,0.8,3.1,1.7
all_households,highest_quintile,2009,2.8,3.5,0.9,2.5,1.6
all_households,highest_quintile,2010,2.6,3.2,1.1,2.7,1.5
all_households,highest_quintile,2011,2.6,3.3,0.7,2.4,1.6
all_households,highest_quintile,2012,2.6,3.2,0.5,2.9,1.5
all_households,highest_quintile,2013,2.3,2.9,0.5,1.8,1.5
all_households,highest_quintile,2014,2.9,3.5,1.1,2.1,2.1
all_households,highest_quintile,2015,3.3,3.8,1.3,3.0,2.0
all_households,highest_quintile,2016,3.7,4.3,1.2,2.8,2.2
all_households,highest_quintile,2017,3.4,4.0,1.2,2.6,2.1
all_households,highest_quintile,2018,3.0,3.3,1.4,2.7,2.2
all_households,highest_quintile,2019,3.5,3.9,1.7,4.1,2.2
all_households,highest_quintile,2020,5.9,4.2,2.3,4.2,9.0
all_households,highest_quintile,2021,4.9,4.5,2.5,3.9,6.7
all_households,highest_quintile,2022,4.1,4.6,2.2,3.2,3.3
all_households,percentiles_81_90,1979,1.0,1.1,0.3,1.2,1.1
all_households,percentiles_81_90,1980,0.9,0.9,0.3,1.3,1.0
all_households,percentiles_81_90,1981,0.9,1.1,0.2,2.0,0.7
all_households,percentiles_81_90,1982,0.8,1.1,0.2,1.3,0.6
all_households,percentiles_81_90,1983,0.6,0.6,0.1,1.0,0.6
all_households,percentiles_81_90,1984,0.8,0.8,0.4,1.6,0.8
all_households,percentiles_81_90,1985,1.0,1.0,0.4,2.3,0.8
all_households,percentiles_81_90,1986,0.8,0.8,0.2,1.5,0.7
all_households,percentiles_81_90,1987,0.7,0.6,0.2,1.1,0.7
all_households,percentiles_81_90,1988,0.6,0.8,0.3,1.0,0.5
all_households,percentiles_81_90,1989,0.9,1.2,0.3,1.5,0.7
all_households,percentiles_81_90,1990,1.1,1.3,0.3,1.9,0.8
all_households,percentiles_81_90,1991,1.0,1.1,0.6,1.5,0.9
all_households,percentiles_81_90,1992,1.1,1.4,0.5,1.5,0.7
all_households,percentiles_81_90,1993,1.0,1.1,0.3,1.7,0.7
all_households,percentiles_81_90,1994,1.2,1.6,0.4,1.6,0.8
all_households,percentiles_81_90,1995,1.2,1.6,0.4,1.6,0.7
all_households,percentiles_81_90,1996,1.2,1.7,0.3,1.7,0.5
all_households,percentiles_81_90,1997,1.1,1.5,0.3,1.2,0.4
all_households,percentiles_81_90,1998,1.3,1.7,0.1,1.4,0.6
all_households,percentiles_81_90,1999,1.1,1.2,0.3,1.5,0.7
all_households,percentiles_81_90,2000,1.5,1.9,0.2,1.5,0.7
all_households,percentiles_81_90,2001,1.2,1.4,0.2,1.3,0.7
all_households,percentiles_81_90,2002,1.3,1.5,0.2,1.4,0.6
all_households,percentiles_81_90,2003,1.3,1.5,0.3,1.3,0.6
all_households,percentiles_81_90,2004,1.4,1.6,0.3,2.3,0.7
all_households,percentiles_81_90,2005,1.5,1.7,0.3,1.7,0.7
all_households,percentiles_81_90,2006,1.6,1.9,0.2,2.2,0.8
all_households,percentiles_81_90,2007,1.6,1.9,0.3,2.0,0.9
all_households,percentiles_81_90,2008,1.4,1.7,0.4,1.6,0.8
all_households,percentiles_81_90,2009,1.5,1.9,0.5,1.4,0.8
all_households,percentiles_81_90,2010,1.5,1.8,0.6,1.6,0.8
all_households,percentiles_81_90,2011,1.5,1.8,0.4,1.5,0.8
all_households,percentiles_81_90,2012,1.5,1.8,0.3,1.8,0.7
all_households,percentiles_81_90,2013,1.2,1.5,0.3,1.0,0.7
all_households,percentiles_81_90,2014,1.7,2.0,0.6,1.1,1.2
all_households,percentiles_81_90,2015,1.8,2.1,0.7,1.6,1.1
all_households,percentiles_81_90,2016,2.0,2.4,0.6,1.5,1.2
all_households,percentiles_81_90,2017,1.9,2.2,0.6,1.6,1.1
all_households,percentiles_81_90,2018,1.6,1.8,0.8,1.5,1.2
all_households,percentiles_81_90,2019,2.0,2.1,1.0,2.2,1.2
all_households,percentiles_81_90,2020,3.3,2.4,1.3,2.5,5.1
all_households,percentiles_81_90,2021,2.7,2.5,1.4,2.0,3.8
all_households,percentiles_81_90,2022,2.2,2.5,1.1,1.7,1.7
all_households,percentiles_91_95,1979,0.4,0.5,0.2,0.6,0.3
all_households,percentiles_91_95,1980,0.4,0.3,0.1,0.8,0.4
all_households,percentiles_91_95,1981,0.4,0.4,0.1,0.8,0.3
all_households,percentiles_91_95,1982,0.4,0.5,0.1,0.7,0.3
all_households,percentiles_91_95,1983,0.4,0.4,0.1,0.9,0.3
all_households,percentiles_91_95,1984,0.3,0.2,0.3,0.7,0.3
all_households,percentiles_91_95,1985,0.3,0.2,0.1,0.7,0.3
all_households,percentiles_91_95,1986,0.3,0.3,0.1,0.6,0.3
all_households,percentiles_91_95,1987,0.2,0.2,0.1,0.4,0.3
all_households,percentiles_91_95,1988,0.2,0.3,0.2,0.2,0.3
all_households,percentiles_91_95,1989,0.4,0.5,0.1,0.4,0.5
all_households,percentiles_91_95,1990,0.4,0.5,0.2,0.8,0.3
all_households,percentiles_91_95,1991,0.3,0.3,0.2,0.5,0.4
all_households,percentiles_91_95,1992,0.5,0.6,0.2,0.9,0.2
all_households,percentiles_91_95,1993,0.4,0.4,0.2,0.7,0.3
all_households,percentiles_91_95,1994,0.5,0.8,0.1,0.7,0.2
all_households,percentiles_91_95,1995,0.5,0.7,0.2,0.5,0.3
all_households,percentiles_91_95,1996,0.4,0.7,0.1,0.4,0.2
all_households,percentiles_91_95,1997,0.4,0.6,0.1,0.6,0.2
all_households,percentiles_91_95,1998,0.5,0.6,0.1,0.5,0.2
all_households,percentiles_91_95,1999,0.5,0.6,0.1,0.7,0.3
all_households,percentiles_91_95,2000,0.5,0.6,0.1,0.5,0.3
all_households,percentiles_91_95,2001,0.6,0.7,0.1,0.7,0.4
all_households,percentiles_91_95,2002,0.6,0.7,0.1,0.6,0.2
all_households,percentiles_91_95,2003,0.6,0.7,0.1,0.7,0.2
all_households,percentiles_91_95,2004,0.5,0.6,0.1,0.6,0.3
all_households,percentiles_91_95,2005,0.6,0.8,0.1,0.8,0.3
all_households,percentiles_91_95,2006,0.6,0.7,0.2,0.6,0.4
all_households,percentiles_91_95,2007,0.7,0.8,0.1,0.7,0.4
all_households,percentiles_91_95,2008,0.7,0.8,0.2,0.9,0.4
all_households,percentiles_91_95,2009,0.7,0.8,0.2,0.5,0.4
all_households,percentiles_91_95,2010,0.6,0.7,0.2,0.5,0.4
all_households,percentiles_91_95,2011,0.5,0.7,0.1,0.3,0.3
all_households,percentiles_91_95,2012,0.6,0.8,0.1,0.6,0.4
all_households,percentiles_91_95,2013,0.6,0.8,0.1,0.5,0.4
all_households,percentiles_91_95,2014,0.7,0.8,0.2,0.5,0.4
all_households,percentiles_91_95,2015,0.8,0.9,0.4,0.7,0.5
all_households,percentiles_91_95,2016,0.8,1.0,0.3,0.8,0.5
all_households,percentiles_91_95,2017,0.7,0.9,0.3,0.3,0.5
all_households,percentiles_91_95,2018,0.6,0.7,0.3,0.6,0.5
all_households,percentiles_91_95,2019,0.9,1.0,0.5,1.2,0.5
all_households,percentiles_91_95,2020,1.4,1.0,0.5,0.8,2.1
all_households,percentiles_91_95,2021,1.1,1.0,0.6,0.9,1.6
all_households,percentiles_91_95,2022,1.0,1.1,0.5,0.9,0.6
all_households,percentiles_96_99,1979,0.4,0.5,0.2,0.5,0.4
all_households,percentiles_96_99,1980,0.3,0.3,0.1,0.6,0.3
all_households,percentiles_96_99,1981,0.3,0.4,0.1,0.4,0.3
all_households,percentiles_96_99,1982,0.2,0.3,0.0,0.3,0.2
all_households,percentiles_96_99,1983,0.3,0.2,0.1,0.8,0.3
all_households,percentiles_96_99,1984,0.3,0.2,0.2,0.5,0.3
all_households,percentiles_96_99,1985,0.3,0.3,0.2,0.5,0.3
all_households,percentiles_96_99,1986,0.3,0.3,0.1,0.4,0.3
all_households,percentiles_96_99,1987,0.4,0.4,0.2,0.8,0.3
all_households,percentiles_96_99,1988,0.3,0.3,0.2,0.4,0.3
all_households,percentiles_96_99,1989,0.3,0.3,0.1,0.5,0.3
all_households,percentiles_96_99,1990,0.5,0.4,0.2,0.7,0.5
all_households,percentiles_96_99,1991,0.4,0.4,0.2,0.5,0.4
all_households,percentiles_96_99,1992,0.3,0.3,0.1,0.2,0.2
all_households,percentiles_96_99,1993,0.3,0.3,0.1,0.4,0.3
all_households,percentiles_96_99,1994,0.4,0.6,0.1,0.4,0.2
all_households,percentiles_96_99,1995,0.4,0.6,0.2,0.4,0.3
all_households,percentiles_96_99,1996,0.3,0.5,0.1,0.3,0.2
all_households,percentiles_96_99,1997,0.4,0.6,0.2,0.4,0.3
all_households,percentiles_96_99,1998,0.4,0.6,0.1,0.5,0.2
all_households,percentiles_96_99,1999,0.4,0.5,0.1,0.4,0.2
all_households,percentiles_96_99,2000,0.5,0.6,0.1,0.4,0.2
all_households,percentiles_96_99,2001,0.5,0.6,0.1,0.5,0.2
all_households,percentiles_96_99,2002,0.4,0.4,0.1,0.5,0.2
all_households,percentiles_96_99,2003,0.4,0.5,0.1,0.4,0.2
all_households,percentiles_96_99,2004,0.4,0.4,0.1,0.4,0.2
all_households,percentiles_96_99,2005,0.6,0.6,0.2,0.7,0.3
all_households,percentiles_96_99,2006,0.5,0.6,0.1,0.5,0.3
all_households,percentiles_96_99,2007,0.6,0.7,0.1,0.5,0.5
all_households,percentiles_96_99,2008,0.5,0.6,0.1,0.6,0.3
all_households,percentiles_96_99,2009,0.5,0.6,0.1,0.5,0.3
all_households,percentiles_96_99,2010,0.4,0.5,0.2,0.4,0.3
all_households,percentiles_96_99,2011,0.4,0.6,0.1,0.3,0.3
all_households,percentiles_96_99,2012,0.4,0.5,0.1,0.3,0.3
all_households,percentiles_96_99,2013,0.4,0.5,0.1,0.3,0.3
all_households,percentiles_96_99,2014,0.4,0.5,0.1,0.3,0.3
all_households,percentiles_96_99,2015,0.6,0.6,0.2,0.6,0.4
all_households,percentiles_96_99,2016,0.6,0.7,0.3,0.4,0.3
all_households,percentiles_96_99,2017,0.6,0.7,0.2,0.4,0.4
all_households,percentiles_96_99,2018,0.5,0.6,0.3,0.4,0.4
all_households,percentiles_96_99,2019,0.5,0.6,0.2,0.6,0.3
all_households,percentiles_96_99,2020,1.0,0.7,0.4,0.6,1.5
all_households,percentiles_96_99,2021,0.8,0.7,0.4,0.9,1.1
all_households,percentiles_96_99,2022,0.7,0.7,0.5,0.4,0.7
all_households,top_1_percent,1979,0.1,0.2,0.1,0.1,0.1
all_households,top_1_percent,1980,0.1,0.1,0.1,0.2,0.1
all_households,top_1_percent,1981,0.1,0.2,0.1,0.2,0.1
all_households,top_1_percent,1982,0.1,0.2,0.0,0.2,0.1
