variable,description,source,name_puf,grow_with
part_179,partnership Section 179 deduction,puf,E26110,pt
part_se,partnership income subject to SECA,derived,NA,pt
part_se1,primary filer's share of partnership income subject to SECA,imputed,NA,pt
part_se2,secondary filer's share of partnership income subject to SECA,imputed,NA,pt
wagebill_part,owner's share of W2 wages paid in partnerships,imputed,NA,wages
sstb_part,whether filer's partnership income comes from a SSTB,imputed,NA,NA
scorp_active,nonpassive S corp net income,puf,E26190,pt
scorp_active_loss,nonpassive S corp net loss,puf,E26180,pt
scorp_passive,passive S corp net income,puf,E26170,pt
scorp_passive_loss,passive S corp net loss,puf,E26160,pt
scorp_179,S corp Section 179 deduction,puf,E26100,pt
wagebill_scorp,owner's share of W2 wages paid in S corp,imputed,NA,wages
sstb_scorp,whether filer's S corp income comes from a SSTB,puf,imputed,NA
rent,rent/royalty net income,puf,E25850,rent
rent_loss,rent/royalty net loss,puf,E25860,rent
estate,estate or trust net income,puf,E26390,rent
estate_loss,estate or trust net loss,puf,E26400,rent
farm,net farm income,puf,E02100,pt
farm1,primary filer's share of net farm income,imputed split,NA,pt
farm2,secondary filer's share of net farm income,imputed split,NA,pt
wagebill_farm,owner's share of W2 wages paid in farm business,imputed,NA,wages
sstb_farm,whether filer's farm income comes from a SSTB,imputed,NA,NA
ui,unemployment insurance income,puf,E02300,ui
gross_ss,gross OASI benefits,puf,E02400,ss
nols,net operating losses,imputed,NA,income
other_inc,other income,derived,NA,income
ed_exp,educator expenses,puf,E03220,income
hsa_contr,"health savings account contributions, nonwithheld",puf,E03290,wages
trad_contr_ira,pretax IRA contributions,puf,E03150,income
sl_int_ded,student loan interest dedution,puf,E03210,income
keogh_contr,payments to Keough accounts,puf,E03300,wages
se_health,self-employed health insurance deduction,puf,E03270,wages
early_penalty,penalty for early withdraw of retirement funds,puf,E03400,income
alimony_exp,alimony paid,puf,E03500,wages
tuition_ded,tuition and fees deduction,puf,E03230,income
dpad,domestic production activities deduction,puf,E03240,income
char_cash,cash charitable contributions,puf,E19800,charity
char_noncash,noncash charitable contributions,puf,E20100,charity
other_above_ded,other above-the-line deductions,imputed,NA,income
auto_int_exp,auto loan interest expense,imputed,NA,int
med_exp,medical expenses for itemizers,puf,E17500,income
salt_inc_sales,greater of state and local income or sales tax paid for itemizers,puf,E18400,salt_inc_sales
salt_prop,state and local real estate tax paid,puf,E18500,income
salt_pers,state and local personal property tax paid for itemizers,imputed,NA,salt_prop
int_exp,total deductible interest expense for itemizers,puf,E19200,mortgage
first_mort_bal,balance of first mortgage for itemizers,imputed,NA,mortgage
second_mort_bal,balance of second mortgage for itemizers,imputed,NA,mortgage
first_mort_year,year when first mortgage was incurred for itemizers,imputed,NA,NA
second_mort_year,year when second mortgage was incurred for itemizers,imputed,NA,NA
first_mort_int,interest paid on first mortgage for itemizers,imputed,NA,mortgage
second_mort_int,interest paid on second mortgage for itemizers,imputed,NA,mortgage
inv_int_exp,investment interest expense for itemizers,imputed,NA,int
casualty_exp,casualty and theft losses for itemizers,puf,E20500,income
job_exp,unreimbursed employee expenses for itemizers,puf,E20550,income
tax_prep_exp,tax preparation fees for itemizers,puf,E20600,income
other_misc_exp,other miscellanous deductions subject to AGI limit for itemizers,puf,E20400,income
other_item_exp,other itemized deductions,derived,NA,income
amt_nols,AMT NOL preference plus other adjustments,puf,P60100,income
amt_ftc,alternative minimum foreign tax credit,puf,E62900,income
excess_ptc,excess advance PTC payment after limitation,puf,E85785,income
ftc,foreign tax credit,puf,E07300,income
care_exp,"Child and Dependent Care Tax Credt qualifying expenses, limited to $3K/$6K",puf,E32800,income
aoc_exp,American Opprunity Credit expenses limited to $4K,puf,P87482,income
llc_exp,Lifetime Learning Credit expenses,puf,E87530,income
old_cred,elderly or disabled credit,puf,E07200,ss
savers_cred,retirement contribution credit,puf,E07240,income
res_energy_cred,residential energy credits,puf,E07260,income
gbc,General Business Credit,puf,E07400,income
prior_yr_cred,credit for prior year minimum tax,puf,E07600,income
other_nonref,other nonrefundable tax credits,puf,P08000,income
net_ptc,net Premium Tax Credit,puf,E11560,income
recapture_tax,recpature taxes,puf,E09700,income
ira_penalty,penalty tax on IRA,puf,E09900,income
